ID,Genre,Premise,Hypothesis,Label
NEW_059,News,"Đảo Hải tặc ngoài đời thực chỉ cách bờ biển Việt Nam 15km, thuộc địa phận tỉnh Kiên Giang.",Đảo Hải Tặc ngoài đời thực nằm trong phần đất liền Việt Nam,1
KNO_013,Knowledge,K-pop trở thành một hiện tượng giải trí toàn cầu.,K-pop chỉ là thứ giải trí ở mỗi Hàn Quốc.,1
KNO_024,Knowledge,"Sau vụ ném bom nguyên tử xuống Hiroshima và Nagasaki của Hoa Kỳ, Chính quyền quân phiệt đã đầu hàng vô điều kiện.",Hai quả bom nguyên tử không là nguyên nhân khiến chính phủ quân phiệt đầu hàng mỹ.,1
SOC_264,Social,"Đồ án đạt yêu cầu thôi chưa đủ, giảng viên muốn đồ án phải sáng tạo, độc đáo.",Giảng viên muốn mọi đồ án giống như nhau.,1
NEW_133,News,Máy bay hai tầng Junkers J.I của Đức là chiếc máy bay đầu tiên sử dụng hợp kim duralumin.,Junker J.I là loại máy bay 1 tầng.,1
NEW_144,News,"Màu xanh Phổ của châu Âu là màu sắc đặc biệt tạo màu cho cơn sóng trong bức tranh ""Sóng lừng ngoài khơi Kanagawa"" của Nhật Bản.","Cơn sóng trong bức tranh ""Sóng lừng ngoài khơi Kanagawa"" có màu đỏ.",1
KNO_099,Knowledge,Nhà hàng nổi tiếng nhất ở Pháp là Rocher de Cancale.,Rocher de Cancale là nhà hàng được ít người biết đến nhất ở Pháp.,1
SOC_205,Social,Nguyên tố Photpho được tìm thấy khi các nhà giả kim đun sôi nước tiểu và phát hiện chất màu trắng phát sáng trong bóng tối.,Chất màu trắng phát sáng trong bóng tối đó không có chứa Photpho.,1
SOC_248,Social,"Thật sự vinh dự khi Khoai được nhận giải thưởng ""Nhân vật sáng tạo và truyền cảm hứng du lịch - văn hoá 2025"".",Khoai chưa nhận được giải thưởng nào,1
KNO_104,Knowledge,"Siêu thị là cửa hàng tự phục vụ, cung cấp nhiều loại thực phẩm, đồ uống và sản phẩm gia dụng.",Không có thức ăn ở trong siêu thị.,1
KNO_120,Knowledge,Rạp chiếu phim là một toà nhà có khán phòng để phục vụ mục đích xem phim giải trí.,Không thể xem phim ở rạp chiếu phim.,1
SOC_262,Social,"Nhân viên giữ xe của trường thái độ rất láo, chửi thẳng mặt sinh viên không nể nang gì cả.",Bãi xe của trường không có nhân viên giữ xe,1
SOC_179,Social,"Tụi bay đừng có ngồi dán mắt vô màn hình nữa, ra ngoài mà chạm cỏ đi.",Tụi bay lúc nào cũng ra ngoài,1
