ID,Genre,Premise,Hypothesis,Label
FIC_066,Fiction,Tanjiro sử dụng Hơi thở của Nước trong lúc đối đầu với kẻ thù mạnh hơn.,Tanjiro gặp 2 con quỷ mạnh cùng lúc.,2
KNO_101,Knowledge,Ngành công nghiệp nhà hàng ở Hoa Kỳ là một ngành lớn và phát triển nhanh chóng.,Ngành công nghiệp nhà hàng ở Mỹ là một ngành nhỏ và phát triển chậm.,1
KNO_070,Knowledge,Thực phẩm cũng gọi là thức ăn là bất kỳ vật phẩm nào con người hay động vật có thể ăn hay uống được.,Thức ăn của động vật thì không phải là thực phẩm.,1
SOC_059,Social,"Bò tỉnh Hyōgo đúng kiểu “hàng gốc” duy nhất, nghe nói đạt chuẩn cao nhất mới được dán mác Kobe.",Tỉnh Hyōgo còn nổi tiếng với nhiều đặc sản khác.,2
SOC_269,Social,Nếu có một kì hạn cho mối tình này thì tôi hi vọng là mười ngàn năm.,Tôi muốn mối tình này kéo dài mãi mãi không bao giờ ngừng lại.,1
KNO_100,Knowledge,Lệnh cấm rượu đã khiến các nhà hàng phục vụ bữa ăn ngon gặp khó khăn.,Các nhà hàng phục vụ bữa ăn ngon phụ thuộc vào thức uống có cồn.,2
SOC_008,Social,Nhiều bạn trẻ than chán vì thời tiết mưa kéo dài cả ngày.,Một số người vẫn thích không khí mát lạnh của ngày mưa.,2
SOC_021,Social,"Sau bao nhiêu năm chờ đợi, tập cuối của Naruto cuối cùng cũng đã được công chiếu.",Boruto sẽ dựa vào bối cảnh đã có của Naruto để viết tiếp.,2
NEW_113,News,Sự cố máy tính Y2K khiến dư luận hoang mang về kịch bản ngày tận thế trong thời khắc chuyển giao sang năm 2000.,Nhiều người nghĩ rằng có xảy ra ngày tận thế trong sự cố Y2K.,0
NEW_090,News,"Bức tường Berlin và Khu phi quân sự ở ba nước Đức, Hàn Quốc, Việt Nam trở thành biểu tượng số 1 của Chiến tranh Lạnh.","Ba nước Đức, Hàn Quốc và Việt Nam có đặt Khu phi quân sự.",0
NEW_173,News,"Đế chế La Mã khai sinh ra thế giới phương Tây hiện đại, để lại câu nói: ""Mọi con đường đều dẫn đến thành Rome"".",Thế giới phương Tây hiện đại được định hình nhờ Đế chế La Mã.,0
NEW_148,News,Thảm hoạ Minamata gióng hồi chuông cảnh tỉnh về sự nguy hiểm của thuỷ ngân và hệ luỵ của nó đối với con người và xã hội.,Thuỷ ngân là nguyên nhân dẫn đến thảm hoạ Minamata.,0
FIC_049,Fiction,Ash học được nhiều bài học quan trọng sau mỗi trận thắng và thua.,Ash rút ra kinh nghiệm từ các trận đấu.,0
